일자,공용공간_평균가동시간,사무실_평균가동시간
2026-05-01,1.41,0.05
2026-05-02,0.06,0.06
2026-05-03,1.02,0.01
2026-05-04,0.23,1.58
2026-05-05,0.57,0.11
2026-05-06,3.12,2.91
2026-05-07,0.08,2.36
2026-05-08,1.26,2.46
2026-05-09,1.4,0.14
2026-05-10,0.07,0.06
2026-05-11,0.11,2.5
2026-05-12,1.01,4.04
2026-05-13,2.7,4.52
2026-05-14,4.79,5.46
2026-05-15,3.6,5.27
2026-05-16,0.74,0.33
2026-05-17,0.14,0.03
2026-05-18,2.72,7.63
2026-05-19,0.6,5.02
2026-05-20,2.44,3.41
2026-05-21,0.01,1.96
2026-05-22,0.8,3.65
2026-05-23,3,0.47
2026-05-24,1.71,2.39
2026-05-25,0,1.32
2026-05-26,0.93,5.81
2026-05-27,2.4,4.89
2026-05-28,5.44,5.27
2026-05-29,2.68,3.78
2026-05-30,3.77,2.63
2026-05-31,3.21,0
