일자,서울1층_평균가동시간,서울2층_평균가동시간,서울3층_평균가동시간,서울6층_평균가동시간,서울7층_평균가동시간,서울별관_평균가동시간
2026-05-01,5.38,0.25,0,0.06,0.03,0
2026-05-02,0,0.25,0,0.07,0.04,0
2026-05-03,4.08,0,0,0.01,0.01,0
2026-05-04,0.88,0.04,0,1.26,1.9,0
2026-05-05,2.29,0,0,0.06,0.15,0
2026-05-06,0,4.71,7.75,3.68,2.13,0
2026-05-07,0.29,0.04,0,1.93,2.78,0
2026-05-08,0,0.13,4.92,2.7,2.21,0
2026-05-09,5.5,0.08,0,0.17,0.11,0
2026-05-10,0,0.29,0,0.08,0.03,0
2026-05-11,0.38,0.04,0,3.05,1.94,0
2026-05-12,0,1.38,2.67,3.9,4.17,0
2026-05-13,0,9.46,1.33,4.9,4.13,0
2026-05-14,0.04,9.38,9.75,5.68,5.24,0
2026-05-15,0.13,4.67,9.5,6.07,4.46,0.08
2026-05-16,2.67,0.29,0,0.11,0.54,0
2026-05-17,0,0.54,0,0.03,0.03,0
2026-05-18,3.88,1.84,5.17,8.68,6.57,0
2026-05-19,0,2.38,0,5.95,4.08,0
2026-05-20,0,3.59,6.17,2.81,4,0
2026-05-21,0,0.04,0,2.35,1.57,0
2026-05-22,0,1.29,1.92,4.04,3.25,0
2026-05-23,0.17,1,3.42,0.79,0.14,7.42
2026-05-24,0.34,3.17,0.92,2.1,2.67,2.42
2026-05-25,0,0,0,0.34,2.3,0
2026-05-26,3.04,0.59,0.08,6.27,5.35,0
2026-05-27,0.04,7.13,2.42,5.22,4.55,0
2026-05-28,4.54,9.96,7.25,6.4,4.13,0
2026-05-29,0,0.71,10,5,2.55,0
2026-05-30,2.42,1.09,11.58,2.28,2.98,0
2026-05-31,0,1.25,11.58,0,0,0
