일자,6층_노조사무실_실내_평균온도,6층_본부장실_실내_평균온도,6층_사무실1_실내_평균온도,6층_사무실2_실내_평균온도,6층_사무실3_실내_평균온도,6층_이사장실_실내_평균온도,최고기온(℃)
2026-05-01,24.7,27.5,25.4,25.5,25.4,25.7,24.3
2026-05-02,24.4,25.8,25,25.1,25.1,25.3,22.4
2026-05-03,22.3,23.1,23.2,23.4,23.5,23.4,15.5
2026-05-04,23.8,25.7,26,26.2,25.9,26.2,19.9
2026-05-05,24.3,27,25.5,25.7,25.5,25.8,21.2
2026-05-06,24.9,26.2,24.5,25.4,24.7,26.1,23.8
2026-05-07,24.3,25.7,25.4,25.4,25.8,26.2,20.3
2026-05-08,23.5,26.6,23.1,24.5,25.2,25.8,20.4
2026-05-09,24.9,28.2,26.3,26.5,26.3,26.8,22.7
2026-05-10,25.4,28,26.3,26.5,26.3,26.6,24.5
2026-05-11,23.7,25.1,23.3,22.9,22.2,25.3,20.9
2026-05-12,24.9,26.2,22.8,23.6,23.2,24.8,24.5
2026-05-13,24.9,27,23.9,24.8,24.1,28,26.2
2026-05-14,25.6,27.4,22.3,24.2,23.3,28.7,31.5
2026-05-15,26.9,27.4,22.8,24.4,24.3,29.1,31.3
2026-05-16,29.2,31.8,29.3,29.5,29.4,30.4,29.9
2026-05-17,29.8,32.6,30.2,30.5,30.4,31.1,29.4
2026-05-18,27.8,28.4,23.4,24.6,24.4,29.6,30.1
2026-05-19,26.9,27.1,23.3,23.4,23.9,28.4,25.5
2026-05-20,24.2,25.7,23.4,23.8,24.1,26.6,21.8
2026-05-21,23.7,25.2,23.8,23.8,24.1,25.8,20.2
2026-05-22,25.2,26.8,23.1,23.3,24.7,27,27
2026-05-23,25.1,25.5,24.1,24.7,24.8,25.1,24.7
2026-05-24,28.2,29.9,27.9,28.1,27.9,28.6,29.2
2026-05-25,28.6,32.2,30.3,30.6,30.2,31.1,29.8
2026-05-26,27.3,27.8,24.7,25.1,24.9,28.2,29
2026-05-27,26.4,26.8,24,24.1,24,27.6,25.1
2026-05-28,25.5,26.3,24,24,25.2,27.2,26.5
2026-05-29,26.2,27.3,24,23.9,25.9,27.1,26.9
2026-05-30,28.2,30.3,28.6,28.9,28.9,29.6,29
2026-05-31,30.1,32.1,30.4,30.9,30.7,31.3,30.9
