일자,7층_본부장실1_실내_평균온도,7층_본부장실2_실내_평균온도,7층_사무실1_실내_평균온도,7층_사무실2_실내_평균온도,7층_사무실3_실내_평균온도,7층_회의실_실내_평균온도,최고기온(℃)
2026-05-01,24.7,23.6,25.2,25.5,25.4,25.6,24.3
2026-05-02,25,24,24.9,25.3,25.3,24,22.4
2026-05-03,22.6,22.1,23,23.2,23,21.3,15.5
2026-05-04,22.7,21.3,21.7,22.8,23.6,24.1,19.9
2026-05-05,23.8,22.4,24.4,24.8,24.9,24.1,21.2
2026-05-06,24.6,25.1,25.1,26.5,26.1,24.4,23.8
2026-05-07,24.3,24.4,24.1,24.8,23.8,24.2,20.3
2026-05-08,23.9,23.5,22.7,24.3,25.2,25.7,20.4
2026-05-09,25.1,23.5,25.9,26.2,26.2,26.3,22.7
2026-05-10,25.5,24.4,26,26.2,26.5,25.7,24.5
2026-05-11,23.4,24.8,23.9,24.7,25.3,23.2,20.9
2026-05-12,22.5,24.8,23.4,24.1,24,23.9,24.5
2026-05-13,25.4,25.2,24.6,25.6,23.4,24.7,26.2
2026-05-14,25.8,26.3,23.4,25.3,24.5,25.6,31.5
2026-05-15,27.6,27.6,24.3,25.2,24.8,26.1,31.3
2026-05-16,30.1,28.6,29.8,29.9,29.1,31.2,29.9
2026-05-17,30.8,29.3,31.2,31.3,31.3,32.6,29.4
2026-05-18,30.4,27.1,25.2,26,25.9,32.2,30.1
2026-05-19,28.6,27.5,27.1,22.9,24.8,27.4,25.5
2026-05-20,25.9,25.8,25.7,21.6,23,25,21.8
2026-05-21,24.5,24.9,25.7,24.8,24.8,23.3,20.2
2026-05-22,26.2,25,25.1,22.5,23.6,25.1,27
2026-05-23,25.4,25.1,24.8,25,25.1,24,24.7
2026-05-24,27,27.1,27.9,28.4,28.1,28.4,29.2
2026-05-25,30,29,30.7,28.4,31.2,30.7,29.8
2026-05-26,29,26.8,26.2,28.4,26.1,28.3,29
2026-05-27,27.8,25.5,26.1,28.4,25.2,27.5,25.1
2026-05-28,27.3,25.4,24.5,28.4,24.2,26.9,26.5
2026-05-29,28.2,26.2,25.6,28.4,24.7,27.6,26.9
2026-05-30,29.7,28.2,29.3,28.4,29.7,29.6,29
2026-05-31,31.3,29.8,30.8,28.4,31.2,31.6,30.9
