일자,1층_로비_실내_평균온도,1층_안내센터_실내_평균온도,2층_로비_실내_평균온도,2층_회의실_실내_평균온도,3층_회의실_실내_평균온도,별관_로비_실내_평균온도,최고기온(℃)
2026-05-01,25.2,25.9,23.3,22.3,23.7,24.6,24.3
2026-05-02,22.5,22.7,23,22.1,23.2,24.5,22.4
2026-05-03,23.6,24.5,21.4,20.5,20.8,23.7,15.5
2026-05-04,22.9,22.9,22.4,21.3,22.6,23.4,19.9
2026-05-05,23,23.4,22.9,21.8,24.1,23.3,21.2
2026-05-06,22.8,23,24.1,23.2,23.4,23.6,23.8
2026-05-07,22.8,23,24.1,23.4,24.4,23.9,20.3
2026-05-08,22.8,23.1,24.5,23.5,24.1,23.7,20.4
2026-05-09,25.6,26.1,24.7,23.7,26.1,23.7,22.7
2026-05-10,22.9,23,24.4,23.4,25.7,23.8,24.5
2026-05-11,22.6,22.5,22.9,22.1,24,24.1,20.9
2026-05-12,23.2,23.4,23.4,22.3,23.4,24.5,24.5
2026-05-13,24.2,24.4,24.2,22.9,25.6,25,26.2
2026-05-14,25.4,25.6,25.3,23.5,24.4,25.6,31.5
2026-05-15,26.5,26.7,27.9,24.5,24.8,26,31.3
2026-05-16,25.1,26.1,28.8,27.2,28.6,26.3,29.9
2026-05-17,26.5,26.7,28.8,27.5,29.2,26.3,29.4
2026-05-18,24.9,26.2,29.3,27.1,26.6,26.4,30.1
2026-05-19,26,26.2,27.2,25.4,27.3,26.5,25.5
2026-05-20,23.3,23.5,25.6,23.4,23.4,26.3,21.8
2026-05-21,22,22.2,23.4,22.5,23.7,25.7,20.2
2026-05-22,24.1,24.3,24.7,23.3,24.9,25.6,27
2026-05-23,22.4,22.7,23.3,23.3,24,22.1,24.7
2026-05-24,23.8,24.1,25.4,25,27.4,22.4,29.2
2026-05-25,25.8,26.3,28,27.1,29.1,25.4,29.8
2026-05-26,24.5,25.6,27.5,26.5,27.7,26.4,29
2026-05-27,25.8,26.1,22.9,23.9,25.5,26.1,25.1
2026-05-28,23.1,24.2,21.4,23.5,23.7,25.9,26.5
2026-05-29,25.4,25.7,26.2,25.1,23.4,25.8,26.9
2026-05-30,24.3,25.3,27.9,26.5,22.9,25.8,29
2026-05-31,26.8,27.3,29,27.3,23.3,26,30.9
