날짜,최고기온(℃),서울_1층_평균온도,서울_2층_평균온도,서울_3층_평균온도,서울_6층_평균온도,서울_7층_평균온도,서울_별관_평균온도
"	2026-05-01",24.3,24,23,23.9,25.5,25.7,25.2
"	2026-05-02",22.4,22.7,23.2,23.4,25.6,25.7,25.2
"	2026-05-03",15.5,22.8,22.2,21,24.3,24.3,24.7
"	2026-05-04",19.9,22.6,22.5,22.3,25,23.8,24.2
"	2026-05-05",21.2,22.5,22.3,23.7,25.1,24.7,23.6
"	2026-05-06",23.8,22.6,23.1,22.6,24.5,25.5,24.1
"	2026-05-07",20.3,22.6,23.7,24.6,25.1,24.6,24.3
"	2026-05-08",20.4,22.8,24,23.6,24.3,25,24.3
"	2026-05-09",22.7,24.4,23.8,25.7,26,26.1,24.2
"	2026-05-10",24.5,22.8,23.7,25.5,26.1,26.4,24.3
"	2026-05-11",20.9,22.4,23.4,24.5,22.9,25.5,24.7
"	2026-05-12",24.5,23.2,23.7,23.6,23.6,24.5,25
"	2026-05-13",26.2,24,24.3,25.4,24.2,24.4,25.4
"	2026-05-14",31.5,24.7,25.1,23.7,23.5,25.1,25.7
"	2026-05-15",31.3,25.9,26.7,24.1,24.7,25.5,26.3
"	2026-05-16",29.9,25.2,27.5,28.9,29.2,29,26.5
"	2026-05-17",29.4,26.2,27.9,29.4,30.2,31.1,26.7
"	2026-05-18",30.1,25.5,28.2,26.1,25.2,26.9,26.8
"	2026-05-19",25.5,25.9,27.6,27.9,24.7,26.2,26.9
"	2026-05-20",21.8,23.5,26.3,23.8,24.4,24.6,26.8
"	2026-05-21",20.2,22.2,24.5,24.6,24.3,25.9,26.3
"	2026-05-22",27,24,24.7,24.9,24.4,24.6,26
"	2026-05-23",24.7,22.9,24.1,24.2,25.1,25.9,24.1
"	2026-05-24",29.2,24.3,25.2,27,27.6,27.7,22.9
"	2026-05-25",29.8,25.9,26.6,28.6,29.3,30.1,25.9
"	2026-05-26",29,25.1,27.2,28.2,25.5,26.6,26.8
"	2026-05-27",25.1,26,25.9,25.7,25,25.4,26.7
"	2026-05-28",26.5,23.9,24.8,23.5,25.5,24.7,26.5
"	2026-05-29",26.9,25.5,26.3,22.3,25.3,25.2,26.2
"	2026-05-30",29,24.9,27,21.2,28.2,29.2,26.3
"	2026-05-31",30.9,26.5,27.8,21.1,30,30.6,26.5
"	",,,,,,,
